1.461340126E+12,-16,-976,-56,282,one
1.46134012604E+12,-16,-976,-56,282
1.46134012608E+12,-48,-968,-56,282
1.46134012612E+12,-72,-960,-136,282
1.46134012616E+12,-72,-976,-88,280
1.4613401262E+12,-32,-984,-56,280
1.46134012624E+12,-24,-1000,-32,280
1.46134012627E+12,-16,-1000,-24,280
1.46134012631E+12,-24,-984,-32,280
1.46134012635E+12,-24,-976,0,278
1.46134012639E+12,-24,-960,-16,278
1.46134012643E+12,-40,-960,-16,278
1.46134012647E+12,-48,-960,0,278
1.46134012651E+12,-40,-976,-24,278
1.46134012655E+12,-40,-976,-16,278
1.46134012659E+12,-48,-984,-8,278
1.46134012663E+12,-32,-984,-40,278
1.46134012666E+12,-16,-976,-72,278
1.4613401267E+12,-16,-968,-24,278
1.46134012674E+12,-24,-968,-56,276
1.46134012678E+12,-24,-976,-48,276
1.46134012682E+12,-32,-968,-40,276
1.46134012686E+12,-24,-992,-32,276
1.4613401269E+12,-32,-992,-32,276
1.46134012694E+12,-40,-984,-72,276
1.461340127E+12,-56,-976,-80,276,one
1.46134012704E+12,-72,-976,-16,276
1.46134012708E+12,-96,-976,-16,276
1.46134012712E+12,-136,-968,-24,276
1.46134012716E+12,-200,-968,-16,276
1.4613401272E+12,-248,-968,56,276
1.46134012724E+12,-272,-960,32,276
1.46134012727E+12,-256,-952,-48,276
1.46134012731E+12,-208,-944,-48,276
1.46134012735E+12,-144,-936,-40,276
1.46134012739E+12,-72,-912,-112,276
1.46134012743E+12,-8,-912,-192,276
1.46134012747E+12,80,-920,-208,276
1.46134012751E+12,208,-936,-136,276
1.46134012755E+12,296,-928,-192,276
1.46134012759E+12,336,-928,-168,276
1.46134012762E+12,376,-944,-168,276
1.46134012766E+12,344,-960,-184,276
1.4613401277E+12,312,-976,-184,274
1.46134012774E+12,288,-968,-120,274
1.46134012778E+12,248,-968,-144,274
1.46134012782E+12,192,-952,-112,274
1.46134012786E+12,152,-952,-88,274
1.4613401279E+12,104,-928,-80,274
1.46134012794E+12,32,-920,-80,274
1.461340128E+12,-24,-960,-72,274,one
1.46134012804E+12,-88,-976,-72,274
1.46134012808E+12,-136,-992,-48,274
1.46134012812E+12,-192,-1008,-88,274
1.46134012816E+12,-248,-1008,-120,274
1.46134012819E+12,-280,-984,-136,274
1.46134012823E+12,-328,-928,-112,274
1.46134012827E+12,-336,-872,-104,274
1.46134012831E+12,-320,-832,-80,274
1.46134012835E+12,-296,-800,-120,274
1.46134012839E+12,-256,-768,-120,274
1.46134012843E+12,-256,-760,-184,274
1.46134012847E+12,-264,-760,-192,274
1.46134012851E+12,-240,-816,-208,274
1.46134012855E+12,-288,-816,-336,274
1.46134012859E+12,-216,-864,-240,274
1.46134012862E+12,-240,-880,-312,274
1.46134012866E+12,-248,-896,-304,322
1.4613401287E+12,-200,-944,-264,322
1.46134012874E+12,-176,-952,-376,322
1.46134012878E+12,-152,-1000,-496,322
1.46134012882E+12,-168,-1016,-472,322
1.46134012886E+12,-144,-1024,-440,330
1.4613401289E+12,-80,-1024,-512,330
1.46134012894E+12,-64,-1016,-496,330
1.461340129E+12,-40,-1008,-512,330,one
1.46134012904E+12,-16,-1000,-584,330
1.46134012908E+12,-8,-1008,-584,330
1.46134012912E+12,0,-1000,-512,330
1.46134012916E+12,-8,-976,-496,330
1.4613401292E+12,16,-960,-464,330
1.46134012923E+12,0,-944,-424,324
1.46134012927E+12,-24,-960,-432,324
1.46134012931E+12,-32,-928,-464,324
1.46134012935E+12,-16,-904,-416,324
1.46134012939E+12,-32,-904,-368,324
1.46134012943E+12,-64,-856,-392,318
1.46134012947E+12,-80,-848,-344,318
1.46134012951E+12,-112,-816,-368,318
1.46134012955E+12,-128,-840,-400,318
1.46134012959E+12,-184,-832,-344,318
1.46134012962E+12,-240,-848,-344,314
1.46134012966E+12,-264,-864,-376,314
1.4613401297E+12,-272,-848,-400,314
1.46134012974E+12,-280,-840,-432,314
1.46134012978E+12,-272,-832,-424,314
1.46134012982E+12,-272,-824,-432,316
