1.461337701E+12,48,-952,-40,68,one
1.46133770104E+12,-8,-960,-48,68
1.46133770108E+12,-24,-984,-88,68
1.46133770112E+12,-40,-1000,0,68
1.46133770116E+12,-8,-1016,24,70
1.4613377012E+12,16,-1016,56,70
1.46133770124E+12,0,-1000,40,70
1.46133770128E+12,8,-1000,-8,70
1.46133770131E+12,0,-992,32,70
1.46133770135E+12,16,-992,-16,72
1.46133770139E+12,24,-976,8,72
1.46133770143E+12,32,-952,0,72
1.46133770147E+12,48,-952,48,72
1.46133770151E+12,48,-952,48,72
1.46133770155E+12,40,-944,24,74
1.46133770159E+12,56,-944,-8,74
1.46133770163E+12,48,-952,-40,74
1.46133770166E+12,32,-960,-32,74
1.4613377017E+12,24,-976,-32,74
1.46133770174E+12,24,-984,-16,76
1.46133770178E+12,24,-992,8,76
1.46133770182E+12,24,-1000,-40,76
1.46133770186E+12,32,-1000,-40,76
1.4613377019E+12,40,-992,-24,76
1.46133770194E+12,16,-984,-8,76
1.461337702E+12,24,-976,24,76,one
1.46133770204E+12,32,-960,40,76
1.46133770208E+12,32,-952,16,76
1.46133770212E+12,40,-944,0,74
1.46133770216E+12,8,-936,48,74
1.4613377022E+12,-16,-960,-48,74
1.46133770223E+12,-8,-984,-72,74
1.46133770227E+12,8,-1008,-104,74
1.46133770231E+12,96,-1064,-152,68
1.46133770235E+12,168,-1088,-272,68
1.46133770239E+12,224,-1088,-296,68
1.46133770243E+12,280,-1064,-304,68
1.46133770247E+12,312,-984,-256,68
1.46133770251E+12,256,-936,-136,76
1.46133770255E+12,208,-888,-88,76
1.46133770259E+12,112,-832,0,76
1.46133770262E+12,72,-792,72,76
1.46133770266E+12,32,-784,120,76
1.4613377027E+12,-32,-776,0,74
1.46133770274E+12,-120,-784,16,74
1.46133770278E+12,-200,-792,-24,74
1.46133770282E+12,-272,-784,-16,74
1.46133770286E+12,-344,-792,-56,74
1.4613377029E+12,-376,-792,-8,72
1.46133770294E+12,-400,-816,-64,72
