1.461097268E+12,80,-992,-48,340,one
1.46109726804E+12,32,-984,-64,340
1.46109726808E+12,240,-1008,-48,340
1.46109726812E+12,136,-1016,40,340
1.46109726816E+12,0,-992,-64,340
1.4610972682E+12,-8,-1000,-16,332
1.46109726824E+12,0,-984,-80,332
1.46109726828E+12,24,-976,-64,332
1.46109726831E+12,56,-952,-88,332
1.46109726835E+12,40,-960,-72,324
1.46109726839E+12,32,-968,-64,324
1.46109726843E+12,24,-952,-72,324
1.46109726847E+12,24,-984,-48,324
1.46109726851E+12,24,-968,-40,324
1.46109726855E+12,24,-968,-104,358
1.46109726859E+12,16,-984,-72,358
1.46109726863E+12,-8,-992,-96,358
1.46109726867E+12,-16,-992,-120,358
1.46109726870E+12,-32,-992,-128,358
1.46109726874E+12,-8,-984,-176,358
1.46109726878E+12,16,-976,-128,358
1.46109726882E+12,16,-976,-136,358
1.46109726886E+12,24,-984,-112,358
1.4610972689E+12,32,-992,-104,358
1.46109726894E+12,32,-984,-104,358
1.461097269E+12,32,-984,-120,358,one
1.46109726904E+12,16,-984,-128,358
1.46109726908E+12,24,-984,-152,358
1.46109726912E+12,40,-984,-120,358
1.46109726916E+12,48,-968,-96,358
1.4610972692E+12,56,-968,-96,358
1.46109726924E+12,48,-976,-96,358
1.46109726927E+12,64,-968,-136,358
1.46109726931E+12,88,-976,-120,358
1.46109726935E+12,96,-1008,-208,358
1.46109726939E+12,128,-1040,-256,358
1.46109726943E+12,216,-1024,-280,358
1.46109726947E+12,328,-968,-184,358
1.46109726951E+12,344,-904,-80,358
1.46109726955E+12,248,-816,-56,358
1.46109726959E+12,88,-752,-32,358
1.46109726962E+12,-32,-680,24,358
1.46109726966E+12,-152,-624,-64,358
1.4610972697E+12,-304,-632,-128,326
1.46109726975E+12,-496,-616,-184,326
1.46109726978E+12,-608,-608,-264,326
1.46109726982E+12,-664,-632,-384,326
1.46109726986E+12,-680,-688,-432,326
1.4610972699E+12,-632,-664,-592,348
1.46109726994E+12,-584,-688,-600,348
1.461097271E+12,-288,-680,-1000,8,one
1.46109727104E+12,-280,-664,-976,8
1.46109727108E+12,-336,-688,-888,10
1.46109727112E+12,-440,-712,-808,10
1.46109727116E+12,-560,-752,-896,10
1.4610972712E+12,-664,-776,-896,10
1.46109727124E+12,-688,-768,-704,10
1.46109727127E+12,-704,-736,-808,10
1.46109727131E+12,-600,-696,-712,10
1.46109727135E+12,-440,-648,-656,10
1.46109727139E+12,-224,-600,-528,10
1.46109727143E+12,-40,-592,-408,12
1.46109727147E+12,8,-592,-440,12
1.46109727151E+12,72,-632,-320,12
1.46109727155E+12,88,-680,-344,12
1.46109727159E+12,80,-736,-296,12
1.46109727163E+12,112,-752,-256,14
1.46109727166E+12,144,-760,-256,14
1.4610972717E+12,176,-808,-328,14
1.46109727174E+12,184,-840,-168,14
1.46109727178E+12,168,-856,-200,14
1.46109727182E+12,144,-880,-176,14
1.46109727186E+12,152,-896,-224,14
1.4610972719E+12,120,-904,-200,14
1.46109727194E+12,120,-896,-184,14
1.461097272E+12,112,-928,-176,14,one
1.46109727203E+12,104,-936,-144,10
1.46109727207E+12,112,-936,-144,10
1.46109727211E+12,88,-944,-176,10
1.46109727215E+12,80,-944,-144,10
1.46109727219E+12,48,-944,-112,4
1.46109727223E+12,24,-936,-160,4
1.46109727227E+12,8,-944,-128,4
1.46109727231E+12,16,-944,-144,4
1.46109727235E+12,24,-952,-160,4
1.46109727238E+12,24,-960,-168,0
1.46109727242E+12,40,-968,-192,0
1.46109727246E+12,40,-976,-168,0
1.4610972725E+12,40,-976,-176,0
1.46109727254E+12,24,-976,-112,0
1.46109727258E+12,48,-984,-152,358
1.46109727262E+12,24,-984,-152,358
1.46109727266E+12,40,-984,-152,358
1.4610972727E+12,32,-976,-176,358
1.46109727274E+12,24,-968,-160,358
1.46109727278E+12,32,-976,-136,358
1.46109727282E+12,24,-976,-128,358
